num_tasks,std_duration,total_workload,workload_density,density_x_tasks,arrival_spread,duration_range_ratio,workload_x_density,density_x_tightness,best_tq
4,2.692582403567252,14,0.4148146919067579,1.6592587676270316,19,1.999994285730612,5.807405686694611,0.04301780715542462,1
10,2.5768197453450252,44,1.3017747627885317,13.017747627885317,17,1.590905475214829,57.27808956269539,0.1694617533033138,2
6,2.6718699236468995,29,1.6893194042799586,10.135916425679753,20,1.4482728656423471,48.9902627241188,0.4756333416127991,1
7,2.1946130708196026,45,0.8725760080877546,6.108032056614282,15,1.0888871950643633,39.26592036394896,0.10876984141290875,3
8,2.4462982238476156,37,0.916408441756423,7.331267534051384,20,1.5135102410589383,33.90711234498765,0.10497555401530441,1
6,2.3804761428476167,30,1.5517233353155164,9.310340011893098,8,1.3999972000056,46.551700059465496,0.4013075515604517,3
6,2.7688746209726918,30,1.2499994791668838,7.499996875001303,17,1.3999972000056,37.49998437500651,0.26041644965291344,2
10,1.857417562100671,45,0.9803919432697291,9.803919432697292,21,1.1111086419807956,44.11763744713781,0.09611683624281957,3
9,2.698879511442471,52,1.3487028202211704,12.138325381990533,20,1.3846129881698284,70.13254665150086,0.20211103303028205,2
6,2.6718699236468995,37,0.895161073751353,5.370966442508118,16,1.1351332943784416,33.12095972880006,0.13355222465994587,2
5,1.7204650534085253,29,0.9415581358577481,4.70779067928874,5,0.8620674791940015,27.305185939874693,0.17730634463998352,3
7,2.813959371941744,26,0.7878785491277123,5.515149843893986,13,2.153840355045198,20.484842277320517,0.08867894402508414,0
5,1.8973665961010275,35,0.7383964686927281,3.6919823434636405,20,0.7142846938790088,25.843876404245485,0.10904586899557821,1
8,2.521780125229002,49,1.1842897439783096,9.474317951826476,18,1.3061203165382589,58.030197454937166,0.17531777471152624,3
8,2.9973947020704497,45,1.1538458579882414,9.23076686390593,18,1.4222196938316556,51.92306360947086,0.1664200329995776,0
4,1.479019945774904,17,1.743587955294405,6.97435182117762,11,0.941174256060574,29.640995240004884,0.7600247394619309,1
8,1.7275343701356567,45,1.3533830516141196,10.827064412912957,19,1.0666647703737415,60.902237322635386,0.22895571054954336,3
4,2.680951323690902,15,0.4918031174416008,1.9672124697664033,19,1.866661688902163,7.377046761624013,0.06046757658131925,0
7,2.2038926600773587,35,1.042552880941695,7.297870166591865,15,1.3999972000056,36.489350832959325,0.15527378707997547,0
8,2.23606797749979,40,0.9968844867577602,7.975075894062082,12,1.1999976000048,39.875379470310406,0.12422233499228537,3
7,2.249716535431946,44,1.073170469958422,7.512193289708954,22,1.1136345919449675,47.21950067817056,0.16452783679868288,3
4,1.0897247358851685,21,0.3870967028393174,1.5483868113572696,16,0.5714274829952706,8.129030759625666,0.0374609643372677,0
7,2.3123448651769496,37,1.182648023811134,8.278536166677938,18,1.5135106501149864,43.75797688101196,0.1998080497463401,1
9,1.7708197167232473,31,0.9893613863740257,8.904252477366231,16,1.451608688878,30.670202977594798,0.10875955031643714,3
5,1.3564659966250536,37,0.8333331456456878,4.166665728228439,20,0.5405398100813378,30.83332638889045,0.13888882632634744,2
9,2.8284271247461903,63,1.520106871824079,13.680961846416713,20,1.2857124489822158,95.76673292491698,0.25674721130742084,0
7,2.5555062599997598,38,0.855305273725501,5.987136916078507,20,1.473681495849876,32.501600401569036,0.10450673018037918,1
9,3.6038388311615233,55,1.6282889916249694,14.654600924624726,19,1.472724862813861,89.55589453937331,0.29459167113856216,0
10,2.071231517720798,59,1.5485560240010434,15.485560240010434,20,1.1864386670531066,91.36480541606156,0.23980257594699203,2
9,1.7638342073763937,33,0.8633718671410813,7.770346804269732,20,1.6363591735658902,28.49127161565568,0.0828234423300752,3
5,1.0198039027185568,22,0.5527636802101306,2.763818401050653,19,0.6818166322349267,12.160800964622872,0.061109537231889506,0
9,2.671292284482513,50,1.3157891274239137,11.842102146815224,18,1.2599977320040825,65.78945637119568,0.19236678087188716,3
7,2.3211538298959886,45,1.0937497341580507,7.656248139106355,18,1.0888871950643633,49.21873803711228,0.1708983544244009,3
8,1.5360257159305635,41,1.1310341707491942,9.048273365993554,20,0.975607852472483,46.37240100071696,0.15990478692528967,3
9,3.303570832737446,58,1.6111106635803711,14.49999597222334,21,1.2413773840695765,93.44441848766152,0.2884086189224871,3
8,2.5495097567963922,48,1.3963632301488784,11.170905841191027,22,1.333331111114815,67.02543504714616,0.2437287838139762,1
6,3.1490739379485304,33,0.7857140986395003,4.714284591837002,17,1.6363606611624344,25.928565255103507,0.10289110746681372,1
9,3.0711722135745005,44,1.6851057376190792,15.165951638571713,22,1.6363602892630447,74.14465245523948,0.315509038550749,1
10,2.181742422927143,72,1.9889497268094674,19.889497268094672,21,0.9722208719154557,143.20438033028165,0.3955921015775455,3
4,2.0463381929681126,21,0.5874124231014201,2.3496496924056802,11,0.9523791383254508,12.33566088512982,0.08626333870347043,2
10,2.9068883707497264,65,2.166665944444685,21.66665944444685,22,1.2307673372810197,140.83328638890453,0.46944413148163794,3
9,2.748737083745107,54,1.936254285805236,17.426288572247124,21,1.333331111114815,104.55773143348274,0.416564517699905,2
9,2.70801280154532,42,1.303447871343764,11.731030842093876,16,1.7142820408241983,54.74481059643809,0.1887751503678433,2
7,2.1189138534559038,44,1.246963209362653,8.728742465538572,16,1.1136345919449675,54.866381211956735,0.2221310350720011,1
4,2.5495097567963922,24,0.6486484733382504,2.5945938933530015,22,0.9999983333361112,15.567563360118008,0.10518621049101072,2
4,2.5860201081971503,15,0.7499996250001875,2.99999850000075,15,1.866661688902163,11.249994375002812,0.14062485937510547,0
5,1.7204650534085253,21,0.6521737105050587,3.2608685525252934,21,1.1904733560158192,13.695647920606232,0.08506610973478722,0
6,3.0776975521032313,29,0.6590907592975547,3.9545445557853283,20,1.6551689893055397,19.113632019629087,0.07240010483190452,0
4,1.8708286933869707,12,0.6153842998029232,2.461537199211693,17,1.6666611111296294,7.384611597635079,0.09467445911098352,0
9,1.9688939051854832,46,1.2777774228396046,11.499996805556442,21,1.1739107466963654,58.77776145062181,0.18141279359095797,3
7,2.4907993963089563,44,2.0533323751115584,14.373326625780908,6,1.1136345919449675,90.34662450490858,0.6023105489544677,2
10,3.2326459750489227,55,1.687116046896918,16.87116046896918,20,1.6363606611624344,92.79138257933049,0.28463605556970833,0
5,2.039607805437114,16,0.38095229024945465,1.9047614512472733,17,1.8749941406433104,6.095236643991274,0.029024929489260953,0
7,3.4226138716316967,35,1.0652170671078491,7.456519469754944,17,1.5999968000064002,37.28259734877472,0.162098200008264,3
7,1.9897697538834458,52,1.34317308478924,9.40221159352468,11,0.8076912204156649,69.84500040904048,0.2577305622431776,3
10,3.286335345030997,60,1.4117643737025003,14.117643737025002,22,1.333331111114815,84.70586242215002,0.19930786468556128,3
10,1.8027756377319946,55,1.6975303402684134,16.975303402684133,13,1.090907107441623,93.36416871476274,0.2881609256131795,0
5,3.3466401061363023,35,2.03488253785899,10.17441268929495,21,1.142855510206414,71.22088882506465,0.8281493885766886,3
10,2.6381811916545836,52,1.3829783555908628,13.829783555908628,21,1.5384585798873465,71.91487449072487,0.1912629132032807,1
7,2.5555062599997593,31,1.0585362239144602,7.409753567401221,22,1.8064475338281494,32.81462294134827,0.1600712767627263,3
5,1.624807680927192,27,0.8823526528259305,4.411763264129652,17,0.9259242112514606,23.82352162630012,0.1557092407897914,1
4,2.5495097567963922,20,0.451977298988181,1.807909195952724,14,1.1999976000048,9.03954597976362,0.05107086970016289,0
