num_tasks,std_duration,total_workload,workload_density,density_x_tasks,arrival_spread,duration_range_ratio,workload_x_density,density_x_tightness,best_algo
8,2.54644359843292,35,1.1570244109010213,9.25619528720817,23,1.5999963428655022,40.49585438153574,0.1673381859276069,0
4,1.5,22,0.5207099359266424,2.0828397437065695,17,0.5454535537208115,11.455618590386132,0.06778470934318201,0
4,2.384848003542364,19,0.37073163497919315,1.4829265399167726,8,1.2631552354626623,7.04390106460467,0.03436048629358643,2
4,2.1213203435596424,28,2.2857124198265963,9.142849679306385,16,0.8571416326548106,63.999947755144696,1.3061203165373887,0
4,1.5811388300841898,16,0.46043152217797917,1.8417260887119167,17,0.9999975000062501,7.366904354847667,0.05299929665378273,0
10,2.6476404589747453,57,1.7868332956635438,17.868332956635438,21,1.4035063096380533,101.849497852822,0.3192773226491841,2
10,1.9519221295943134,57,1.6913941568563329,16.913941568563327,21,0.8771914435237833,96.40946694081097,0.28608141938477455,5
9,2.7261875880856214,46,1.3754148711384107,12.378733840245696,22,1.5652143289284872,63.26908407236689,0.2101962297498545,2
4,3.278719262151,26,0.818897379874841,3.275589519499364,12,1.2307673372810197,21.291331876745865,0.16764822969146992,0
8,2.666341125962693,63,1.6578943005541313,13.26315440443305,21,0.8888877601425268,104.44734093491027,0.34357668897623406,2
5,1.8547236990991407,18,0.873785983599037,4.368929917995185,17,1.388885030874914,15.728147704782666,0.15270038902682734,0
6,2.91070819942883,41,1.0933330417778555,6.5599982506671335,19,1.3170712433103757,44.82665471289208,0.19922952337386965,1
6,2.544056253745625,35,0.8786608672817905,5.271965203690743,16,1.1999979428606695,30.753130354862666,0.1286741532820647,2
4,1.224744871391589,12,0.6857138938777749,2.7428555755110997,17,0.9999966666777778,8.228566726533298,0.1175508860642551,0
8,1.713913650100261,58,1.2210523745152895,9.768418996122316,16,0.6896542211665916,70.8210377218868,0.18637111266367834,5
5,2.4819347291981715,34,0.9392262598822485,4.696131299411243,18,0.8823516436005242,31.93369283599645,0.1764291934504794,1
9,2.3934065809486684,38,1.2214281788266568,10.99285360943991,21,1.6578908102586074,46.41427079541296,0.16576519955908928,2
